
"RES#","T","Rock unit","C","Comp","Craton","Slat","Slon","Age","B","N","P","R%","D","I","alfa95","k","Plat","Plon","A95","AV","Authors","Journal","Year","Vol","Pages","DOI"
"100388","m","Wanakena fayalite granite","US","","Laurentia-Grenville","44.0","286.0","990","8","40","M","88","297.0","-75.8","3.9","199.0","-28.4","132.7","6.9","4","Brown, L.L., McEnroe, S.A.","Prec. Res.","2012","212-213","57-74","http://dx.doi.org/10.1016/j.precamres.2012.04.012"
"3406","i","Lac Allard anorthosite","CA","","Laurentia-Grenville","51.0","297.0","1000","4","112","M","25","296.6","-79.1","9.8","88.3","-38.6","140.4","18.1","3","Hargraves, R.B., Burt, D.M.","Can. J. Earth Sci.","1967","4","357-369","http://dx.doi.org/10.1139/e67-018"
"29762","m","Gatineau Hills metamorphic rocks -R","CA","","Laurentia-Grenville","45.6","283.3","1000","5","24","R","100","79.5","66.5","12.3","39.8","-38.5","158.9","18.3","1","Irving, E., Park, J.K., Roy, J.L.","Nature","1972","236","344-346","http://dx.doi.org/10.1038/236344a0"
"10720","m","Frontenac Grenvillian metasediments A -C","CA","A","Laurentia-Grenville","45.0","283.6","1000","8","82","C","13","87.3","67.8","11.2","16.1","-34.7","153.7","17.2","4","Brett, J.S., Dunlop, D.J.","Earth Plan. Sci. Lett.","2008","266","125-139","http://dx.doi.org/10.1016/j.epsl.2007.11.005"
"914","i","Cheneaux metagabbro","CA","4","Laurentia-Grenville","45.6","283.4","1000","7","16","R","100","37.0","41.0","17.7","12.7","-53.0","217.0","16.7","1","Seguin, M.K., Brun, J.","Prec. Res.","1984","26","307-331","http://dx.doi.org/10.1016/0301-9268(84)90006-8"
"1605","i","Seal Lake group igneous rocks","CA","B","Laurentia-Nain","54.5","298.4","1000","14","73","R","100","125.0","61.0","6.0","43.0","-17.0","158.0","7.9","3","Park, J.K., Roy, J.L.","Can. J. Earth Sci.","1979","16","895-912","http://dx.doi.org/10.1139/e79-078"
"5871","s","Magnetawan metasediments","CA","","Laurentia-Grenville","45.8","280.3","1000","23","83","N","0","302.0","-73.0","4.0","51.0","-24.0","130.0","6.8","2","McWilliams, M.O., Dunlop, D.J.","Science","1975","190","269-272","http://dx.doi.org/10.1126/science.190.4211.269"
"2182","m","Thanet gabbro","CA","A2","Laurentia-Grenville","44.9","282.2","1000","5","19","N","0","77.6","55.2","6.2","151.0","-32.3","172.0","7.3","1","Buchan, K.L.","Can. J. Earth Sci.","1978","15","1407-1421","http://dx.doi.org/10.1139/e78-148"
"2416","i","Chibougamau greenstone belt","CA","CH","Laurentia-Superior","49.9","285.6","1000","5","23","N","0","119.0","51.0","20.7","15.0","-7.0","155.0","23.1","1","Ueno, H., Irving, E.","Prec. Res.","1976","3","303-315","http://dx.doi.org/10.1016/0301-9268(76)90024-3"
"2024","s","Jacobsville formation","US","J2","Laurentia-Superior","46.6","273.5","1000","13","110","N","0","21.0","74.0","9.0","23.0","72.0","307.0","14.4","3","Roy, J.L., Robertson, W.A.","J. Geophys. Res.","1978","83","1289-1304","http://dx.doi.org/10.1029/JB083iB03p01289"
"3572","m","Grenville metamorphics","CA","","Laurentia-Grenville","45.0","281.5","1000","3","16","N","0","283.6","-44.6","11.4","12.0","-9.6","163.7","11.4","0","Du Bois, P.M.","Geol. Surv. Can. Bull.","1962","71","75pp.",""
"2976","m","Gatineau Hills metamorphic rocks -C","CA","","Laurentia-Grenville","45.6","283.3","1000","13","67","C","62","271.0","-66.0","5.0","61.0","-32.0","155.0","7.4","2","Irving, E., Park, J.K., Roy, J.L.","Nature","1972","236","344-346","http://dx.doi.org/10.1038/236344a0"
"2617","i","Whitestone anorthosite and diorite","CA","WW","Laurentia-Grenville","45.6","280.1","1000","5","29","N","0","285.0","-56.0","8.0","96.0","-16.0","154.0","9.4","2","Ueno, H., Irving, E., McNutt, R.H.","Can. J. Earth Sci.","1975","12","209-226","http://dx.doi.org/10.1139/e75-019"
"10721","m","Frontenac Grenvillian metasediments A -N","CA","A","Laurentia-Grenville","45.0","283.6","1000","7","75","N","0","81.0","69.0","12.0","27.0","-39.0","154.0","18.8","4","Brett, J.S., Dunlop, D.J.","Earth Plan. Sci. Lett.","2008","266","125-139","http://dx.doi.org/10.1016/j.epsl.2007.11.005"
"2605","i","River Valley anorthosite and Fall Lake complex","CA","","Laurentia-Grenville","46.6","280.0","1000","4","16","N","0","117.2","24.7","6.3","211.0","8.2","161.3","5","0","Palmer, H.C., Carmichael, C.M.","Can. J. Earth Sci.","1973","10","1175-1190","http://dx.doi.org/10.1139/e73-104"
"2173","i","Sudbury dykes","CA","ovp.","Laurentia-Grenville","46.1","278.5","1000","23","92","R","100","111.2","26.5","7.9","20.3","3.7","163.4","6.3","3","Palmer, H.C., Merz, B.A., Hayatsu, A.","Can. J. Earth Sci.","1977","14","1867-1887",""
"1665","s","Gowganda formation","CA","","Laurentia-Superior","46.7","279.7","1000","8","36","N","0","67.0","78.0","11.0","26.0","51.0","315.0","20","3","Stupavsky, M., Symons, D.T.A.","Can. J. Earth Sci.","1982","19","698-708","http://dx.doi.org/10.1139/e82-059"
"29761","m","Gatineau Hills metamorphic rocks -N","CA","","Laurentia-Grenville","45.6","283.3","1000","8","43","N","0","278.1","-65.3","5.6","100.5","-27.5","152.2","8.1","2","Irving, E., Park, J.K., Roy, J.L.","Nature","1972","236","344-346","http://dx.doi.org/10.1038/236344a0"
"10117","m","Frontenac Grenvillian metamorphics","CA","B","Laurentia-Grenville","45.2","283.2","1000","3","32","N","0","321.0","-6.0","27.0","22.0","32.0","151.0","19.2","2","Brett, J.S., Dunlop, D.J.","Earth Plan. Sci. Lett.","2008","266","125-139","http://dx.doi.org/10.1016/j.epsl.2007.11.005"
"3625","m","Thanet gabbro","CA","","Laurentia-Grenville","45.0","282.5","1000","?","6","N","0","93.0","62.0","14.0","5.0","-28.0","157.0","19.9","1","Hood, P.J.","PhD thesis, University of Toronto","1958","","200pp.",""
"10722","m","Frontenac Grenvillian metasediments A -R","CA","A","Laurentia-Grenville","45.0","283.6","1000","1","7*","R","100","297.0","-56.0","5.0","14.8","-9.0","150.0","6.1","3","Brett, J.S., Dunlop, D.J.","Earth Plan. Sci. Lett.","2008","266","125-139","http://dx.doi.org/10.1016/j.epsl.2007.11.005"
"5836","i","Shabogamo gabbro","CA","Near Front","Laurentia-Grenville","53.6","295.0","1000","10","85","R","100","104.4","35.4","15.2","10.0","-7.5","181.9","12.4","1","Fahrig, W.F., Christie, K.W., Schwarz, E.J.","Can. J. Earth Sci.","1974","11","18-29","http://dx.doi.org/10.1139/e74-002"
"2656","i","Croteau group volcanics","CA","","Laurentia-Grenville","54.5","298.0","1000","5","28","R","100","142.0","75.0","15.0","26.0","30.0","138.0","27","3","Roy, R.L., Fahrig, W.F.","Can. J. Earth Sci.","1973","10","1279-1301","http://dx.doi.org/10.1139/e73-113"
"1710","i","Mealy dykes","CA","B","Laurentia-Grenville","53.4","301.2","1000","18","74","R","100","304.9","-75.6","10.5","12.0","-34.2","147.9","18.4","3","Park, J.K., Emslie, R.F.","Can. J. Earth Sci.","1983","20","1818-1833","http://dx.doi.org/10.1139/e83-173"
"10896","i","Mattawa unbaked tonalithic gneiss (country rock)","CA","","Laurentia-Grenville","46.3","281.2","1009","1","30*","N","0","312.0","-72.0","3.2","66.0","-21.0","127.0","5.3","3","Hyodo, H., Dunlop, D.J.","J. Geophys. Res.","1993","98","7997-8017","http://dx.doi.org/10.1029/92JB02915"
"9165","i","Haliburton intrusions","CA","A","Laurentia-Grenville","45.0","281.4","1015","17","59","R","100","277.5","-71.8","3.8","23.0","-32.6","141.9","6.3","3","Warnock, A.C., Kodama, K.P., Zeitler, P.K.","J. Geophys. Res.","2000","105","19435-19453","http://dx.doi.org/10.1029/2000JB900114"
"3571","s","Keweenawan sandstone dykes","CA","","Laurentia-Superior","47.0","275.5","1020","2","4*","N","0","242.5","65.5","25.5","13.7","19.0","237.0","37.3","2","Du Bois, P.M.","Geol. Surv. Can. Bull.","1962","71","75pp.",""
"10614","s","Bessemer basal quartzite","US","","Laurentia-Superior","45.0","270.0","1020","1","5*","N","0","261.3","38.1","","","9.1","201.2","","1","Books, K.G.","U.S. Geol. Surv. Prof. Paper 760","1972","","1-42",""
"1679","s","Chequamegon sandstone","US","mag.","Laurentia-Superior","46.8","269.3","1025","10","71","R","100","82.6","19.2","5.4","111.5","-12.3","177.7","4","4","McCabe, C., Van der Voo, R.","Can. J. Earth Sci.","1983","20","105-112","http://dx.doi.org/10.1139/e83-010"
"2181","m","Thanet gabbro","CA","A1","Laurentia-Grenville","44.9","282.2","1025","5","26","N","0","90.9","61.7","3.1","593.0","-28.0","158.4","4.2","3","Buchan, K.L.","Can. J. Earth Sci.","1978","15","1407-1421","http://dx.doi.org/10.1139/e78-148"
"2021","s","Jacobsville formation","US","J1(SA)","Laurentia-Superior","47.0","271.6","1030","8","41","N","0","254.0","-12.0","9.0","42.0","-16.0","190.0","6.7","4","Roy, J.L., Robertson, W.A.","J. Geophys. Res.","1978","83","1289-1304","http://dx.doi.org/10.1029/JB083iB03p01289"
"10589","s","Pioneer shale overprint","US","","Laurentia-Yavapai","34.5","249.5","1030","?","27*","N","0","257.0","33.0","2.7","100.0","-0.1","181.6","2.3","3","Scott, G.R.","EOS Trans. Am. Geophys. Union","1972","57","902",""
"2269","i","Nipissing diabase","CA","E","Laurentia-Superior","47.4","280.3","1030","9","45","N","0","271.0","-26.0","14.4","14.0","-9.0","180.0","11.4","3","Roy, J.L., Lapointe, P.L.","Can. J. Earth Sci.","1976","13","749-773","http://dx.doi.org/10.1139/e76-079"
"2022","s","Jacobsville formation","US","J1(A)","Laurentia-Superior","47.2","271.5","1030","19","61","M","36","262.0","-12.0","6.0","31.0","-10.0","184.0","4.2","5","Roy, J.L., Robertson, W.A.","J. Geophys. Res.","1978","83","1289-1304","http://dx.doi.org/10.1029/JB083iB03p01289"
"2023","s","Jacobsville formation","US","J1(B)","Laurentia-Superior","46.5","272.5","1033","5","27","M","20","268.0","-5.0","16.0","23.0","-3.0","182.0","11.3","5","Roy, J.L., Robertson, W.A.","J. Geophys. Res.","1978","83","1289-1304","http://dx.doi.org/10.1029/JB083iB03p01289"
"2020","s","Jacobsville formation","US","J1(C)","Laurentia-Superior","46.6","274.7","1033","6","30","N","0","286.0","2.0","13.0","26.0","12.0","175.0","9.2","4","Roy, J.L., Robertson, W.A.","J. Geophys. Res.","1978","83","1289-1304","http://dx.doi.org/10.1029/JB083iB03p01289"
"1644","s","Eileen formation","US","K1","Laurentia-Superior","46.9","269.0","1035","1","16*","N","0","300.0","0.0","10.0","10.0","20.0","156.0","7.1","3","Watts, D.R.","Can. J. Earth Sci.","1981","18","829-841","http://dx.doi.org/10.1139/e81-080"
"3562","s","Eileen sandstone","US","","Laurentia-Superior","47.0","269.0","1035","5","28","N","0","300.0","-17.5","6.5","18.0","13.0","150.5","4.9","2","Du Bois, P.M.","Geol. Surv. Can. Bull.","1962","71","75pp.",""
"1642","s","Amnicon and Orienta formations","US","K1","Laurentia-Superior","46.9","268.2","1040","1","19*","N","0","308.0","-1.0","9.0","16.0","25.0","148.0","6.4","3","Watts, D.R.","Can. J. Earth Sci.","1981","18","829-841","http://dx.doi.org/10.1139/e81-080"
"3561","s","Orienta sandstone","US","","Laurentia-Superior","47.0","269.0","1040","3","8","N","0","272.5","-5.0","22.0","6.5","-0.5","176.0","15.6","2","Du Bois, P.M.","Geol. Surv. Can. Bull.","1962","71","75pp.",""
"1640","s","Fond du Lac formation","US","K1","Laurentia-Superior","46.9","267.7","1040","11","57","N","0","295.0","0.0","4.0","23.0","16.0","160.0","5","4","Watts, D.R.","Can. J. Earth Sci.","1981","18","829-841","http://dx.doi.org/10.1139/e81-080"
"10711","s","Jacobsville formation -N","US","J1","Laurentia-Superior","47.0","271.5","1045","19","61","N","0","273.5","-5.6","7.1","23.1","0.4","177.0","5.1","5","Roy, J.L., Robertson, W.A.","J. Geophys. Res.","1978","83","1289-1304","http://dx.doi.org/10.1029/JB083iB03p01289"
"5891","s","Jacobsville sandstone","US","","Laurentia-Superior","47.0","271.5","1045","1","15*","N","0","250.3","-11.0","13.0","11.0","-17.5","194.0","9.2","2","Du Bois, P.M.","Adv. in Phys.","1957","6","177-186","http://dx.doi.org/10.1080/00018739700101541"
"3563","s","Jacobsville formation","US","","Laurentia-Superior","47.0","275.5","1045","2","14*","R","100","289.0","-21.0","14.0","10.5","5.0","164.0","10.2","1","Du Bois, P.M.","Geol. Surv. Can. Bull.","1962","71","75pp.",""
"10712","s","Jacobsville formation -R","US","J1","Laurentia-Superior","47.0","271.5","1045","8","41","R","100","89.8","16.9","7.6","53.9","-6.4","175.8","5.7","5","Roy, J.L., Robertson, W.A.","J. Geophys. Res.","1978","83","1289-1304","http://dx.doi.org/10.1029/JB083iB03p01289"
"10710","s","Jacobsville formation -C","US","J1","Laurentia-Superior","47.0","271.5","1045","27","102","C","40","272.4","-7.7","5.9","23.4","-1.2","177.1","4.2","5","Roy, J.L., Robertson, W.A.","J. Geophys. Res.","1978","83","1289-1304","http://dx.doi.org/10.1029/JB083iB03p01289"
"10095","s","Dox sandstone, uppermost member, Grand Canyon Springs","US","","Laurentia-Yavapai","36.1","248.1","1048","37","?","N","0","260.3","30.1","5.4","19.9","1.9","176.9","4.4","3","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"3623","i","Boulter intrusion","CA","","Laurentia-Grenville","45.0","282.5","1050","","8","N","0","297.0","55.0","5.0","19.0","42.0","203.0","5.9","0","Hood, P.J.","PhD thesis, University of Toronto","1958","","200pp.",""
"277","s","Copper Harbor conglomerate","US","hem.","Laurentia-Superior","46.8","271.1","1050","7","45","N","0","286.5","0.0","8.0","58.0","11.2","168.3","5.7","3","Elmore, R.D., Van der Voo, R.","J. Geophys. Res.","1982","87","10918-10928","http://dx.doi.org/10.1029/JB087iB13p10918"
"10358","i","Clam Lake intrusion","US","","Laurentia-Superior","46.2","269.1","1050","14","?","N","0","290.7","35.6","4.9","66.2","28.3","178.7","4.3","1","Kean, W.F., Swingen, R.A.","Geophys. Res. Lett.","1981","8","579-582","http://dx.doi.org/10.1029/GL008i006p00579"
"5903","i","Keweenawan Kearsage rhyolites","US","","Laurentia-Superior","47.2","271.5","1050","2","14*","N","0","285.1","23.0","6.6","37.0","19.0","178.7","5.1","2","Books, K.G.","U.S. Geol. Surv. Prof. Paper 760","1972","","1-42",""
"155","s","Redbeds, Michigan Basin borehole","US","","Laurentia-Superior","43.2","275.4","1050","1","3","M","33","283.1","-7.0","","","7.1","173.8","","3","Van der Voo, R., Watts, D.R.","J. Geophys. Res.","1978","83","5844-5848","http://dx.doi.org/10.1029/JB083iB12p05844"
"3041","i","Pikes Peak granite","US","","Laurentia-Yavapai","38.9","254.7","1059","4","10","N","0","265.0","29.0","7.0","144.0","6.0","181.0","5.7","2","Spall, H.","Geophys. JRAS","1970","21","427-440","http://dx.doi.org/10.1111/j.1365-246X.1970.tb01779.x"
"11159","s","Copper Harbor red beds","US","prim.","Laurentia-Superior","47.4","271.5","1060","18","187","N","0","274.9","10.9","4.2","69.5","7.4","181.7","3.1","3","Symons, D.T.A., Kawasaki, K., Diehl, J.F.","Can. J. Earth Sci.","2019","56","1-15","http://dx.doi.org/10.1139/cjes-2017-0094"
"2616","i","Whitestone anorthosite and diorite","CA","WZ","Laurentia-Grenville","45.6","280.1","1063","4","15","N","0","292.0","-67.0","6.0","223.0","-22.0","140.0","8.9","2","Ueno, H., Irving, E., McNutt, R.H.","Can. J. Earth Sci.","1975","12","209-226","http://dx.doi.org/10.1139/e75-019"
"2051","s","Freda sandstone","US","HT","Laurentia-Superior","47.0","271.5","1070","20","85","N","0","272.4","1.5","5.9","32.0","2.2","179.0","4.2","4","Henry, S.G., Mauk, F.J., Van der Voo, R.","Can. J. Earth Sci.","1977","14","1128-1138","http://dx.doi.org/10.1139/e77-103"
"2607","i","Mealy Mountain anorthosites","CA","NW","Laurentia-Grenville","53.0","300.0","1070","11","56","N","0","300.0","-19.0","18.6","7.0","8.4","180.7","14","1","Fahrig, W.F., Christie, K.W., Schwarz, E.J.","Can. J. Earth Sci.","1974","11","18-29","http://dx.doi.org/10.1139/e74-002"
"6475","i","Clay-Howells carbonatite complex","CA","","Laurentia-Superior","49.8","277.9","1075","18","145","N","0","294.2","27.1","7.0","25.4","26.5","178.8","5.6","3","Lewchuk, M.T., Symons, D.T.A.","Tectonophys.","1990","172","67-75","http://dx.doi.org/10.1016/0040-1951(90)90059-H"
"3768","s","Freda sandstone and Nonesuch shale","US","","Laurentia-Superior","47.0","271.5","1075","12","68","N","0","285.0","-1.0","3.0","26.0","9.0","170.0","2.1","3","Du Bois, P.M.","Adv. in Phys.","1957","6","177-186","http://dx.doi.org/10.1080/00018739700101541"
"3279","s","Nonesuch shale and Freda sandstone","US","","Laurentia-Superior","47.0","271.5","1075","5","1000","N","0","279.0","2.0","14.0","30.8","7.0","176.0","9.9","4","Vincenz, S.A., Yaskawa, K.","J. Geophys. Res.","1968","73","2753-2767","http://dx.doi.org/10.1029/JB073i008p02753"
"3769","s","Hazel formation","US","ovp.","Laurentia-Yavapai","31.0","255.0","1078","5","15","N","0","316.0","56.0","6.0","35.0","53.0","187.0","7.9","2","Howell, L.G., Martinez, J.D., Statham, E.H.","Geophysics","1958","23","285-298","http://dx.doi.org/10.1190/1.1438469"
"2475","i","Morin anorthosite complex","CA","M1","Laurentia-Grenville","46.1","285.6","1079","24","117","N","0","266.2","-76.8","5.3","32.0","-42.2","140.6","9.5","2","Irving, E., Park, J.K., Emslie, R.F.","J. Geophys. Res.","1974","79","5482-5490","http://dx.doi.org/10.1029/JB079i035p05482"
"946","i","Michipicoten Island intrusions","CA","","Laurentia-Superior","47.7","274.3","1079","3","13","N","0","298.2","13.4","31.1","16.8","24.0","166.0","22.7","3","Palmer, H.C., Davis, D.W.","Prec. Res.","1987","37","157-171","http://dx.doi.org/10.1016/0301-9268(87)90077-5"
"10583","i","Minnesota basaltic dykes","US","","Laurentia-Superior","48.0","267.0","1080","1","12*","N","0","289.5","31.1","10.2","19.0","25.4","176.0","8.5","2","Green, J.C., Bornhorst, T.J., Chandler, V.W., Mudrey Jr., M.G., Myers, P.E., Pesonen, L.J., Wilband, J.T.","Mafic Dyke Swarms, ed. H.C. Halls, W.F. Fahrig, Geol. Assoc. Can.","1987","book","289-302",""
"10599","s","Nonesuch mineralized zone (comb.)","US","","Laurentia-Superior","46.8","270.4","1080","29","?","N","0","279.2","2.9","3.9","47.0","7.3","174.7","2.8","4","Symons, D.T.A., Kawasaki, K., Diehl, J.F.","Geofluids","2013","13","112-126","http://dx.doi.org/10.1111/gfl.12024"
"2053","s","Nonesuch shale","US","","Laurentia-Superior","47.0","271.5","1080","11","27","N","0","276.8","8.1","7.8","35.0","7.6","178.1","5.5","4","Henry, S.G., Mauk, F.J., Van der Voo, R.","Can. J. Earth Sci.","1977","14","1128-1138","http://dx.doi.org/10.1139/e77-103"
"11163","s","Copper Harbor red beds","US","ovp.","Laurentia-Superior","47.4","271.5","1080","2","?","N","0","283.0","36.0","","","24.4","187.9","","2","Symons, D.T.A., Kawasaki, K., Diehl, J.F.","Can. J. Earth Sci.","2019","56","1-15","http://dx.doi.org/10.1139/cjes-2017-0094"
"10884","i","Michipicoten Island formation","CA","","Laurentia-Superior","47.7","274.3","1084","21","175","N","0","287.6","10.4","5.4","35.4","15.7","174.7","3.9","5","Fairchild, L.M., Swanson-Hysell, N.L., Ramezani, J., Sprain, C.J., Bowring, S.A.","Lithosphere","2017","9","117-133","http://dx.doi.org/10.1130/L580.1"
"10951","i","Central Arizona diabases -N","US","","Laurentia-Yavapai","33.7","249.2","1085","13","139","N","0","274.8","38.7","7.6","30.4","15.7","175.3","7","4","Donadini, F., Pesonen, L.J., Korhonen, K., Deutsch, A., Harlan, S.S.","Geophysica","2011","47","3-30",""
"7191","i","Arizona, Gila County diabase sills -N","US","","Laurentia-Yavapai","33.5","249.3","1085","17","180","N","0","283.3","45.1","8.7","17.7","24.9","176.0","8.8","4","Harlan, S.S.","Can. J. Earth Sci.","1993","30","1415-1426","http://dx.doi.org/10.1139/e93-122"
"2940","i","Arizona, Gila County diabase -N","US","","Laurentia-Yavapai","36.6","249.4","1085","8","98","N","0","285.0","49.0","7.0","56.0","27.0","179.0","7.3","4","Helsley, C.E., Spall, H.","J. Geophys. Res.","1972","77","2115-2128","http://dx.doi.org/10.1029/JB077i011p02115"
"10961","i","Central Arizona diabases grand mean -N","US","","Laurentia-Yavapai","33.7","249.2","1085","4","?","N","0","280.3","48.2","7.4","153.4","22.8","178.0","7.6","4","Donadini, F., Pesonen, L.J., Korhonen, K., Deutsch, A., Harlan, S.S.","Geophysica","2011","47","3-30",""
"10134","i","Upper-middle Lake Shore traps at Silver Island","US","","Laurentia-Superior","47.5","271.9","1086","8","69","N","0","277.2","44.1","3.1","259.0","23.5","195.3","3.1","5","Kulakov, E.V., Smirnov, A.V., Diehl, J.F.","Can. J. Earth Sci.","2013","50","1085-1096","http://dx.doi.org/10.1139/cjes-2013-0003"
"10135","i","Upper-middle Lake Shore traps at mainland","US","","Laurentia-Superior","47.4","272.3","1086","10","123","N","0","277.0","40.4","3.7","174.0","21.4","193.6","3.5","5","Kulakov, E.V., Smirnov, A.V., Diehl, J.F.","Can. J. Earth Sci.","2013","50","1085-1096","http://dx.doi.org/10.1139/cjes-2013-0003"
"10133","i","Lower-middle Lake Shore traps at mainland","US","","Laurentia-Superior","47.4","272.3","1086","5","76","N","0","298.6","33.2","4.3","325.0","32.5","173.8","3.7","5","Kulakov, E.V., Smirnov, A.V., Diehl, J.F.","Can. J. Earth Sci.","2013","50","1085-1096","http://dx.doi.org/10.1139/cjes-2013-0003"
"7198","i","Lake Shore traps","US","","Laurentia-Superior","47.6","271.9","1086","30","233","N","0","286.1","27.5","5.9","20.9","22.2","180.8","4.7","5","Diehl, J.F., Haig, T.D.","Can. J. Earth Sci.","1994","31","369-380","http://dx.doi.org/10.1139/e94-034"
"945","i","Michipicoten Island lavas","CA","","Laurentia-Superior","47.7","274.3","1087","13","58","N","0","293.8","23.8","8.5","24.8","26.0","175.0","6.6","4","Palmer, H.C., Davis, D.W.","Prec. Res.","1987","37","157-171","http://dx.doi.org/10.1016/0301-9268(87)90077-5"
"350","i","Powder Mill volcanics -N","US","","Laurentia-Superior","46.5","270.0","1087","4","26","N","0","273.9","29.8","7.7","142.9","14.0","188.0","6.3","4","Palmer, H.C., Halls, H.C.","J. Geophys. Res.","1986","91","11571-11580","http://dx.doi.org/10.1029/JB091iB11p11571"
"5895","i","Powder Mill South Range lavas","US","","Laurentia-Superior","45.0","270.0","1087","7","36","N","0","262.5","37.0","11.4","29.0","9.8","199.6","10.2","3","Books, K.G.","U.S. Geol. Surv. Prof. Paper 600-D","1968","","D248-D254",""
"5892","i","Gogebic quartz porphyry","US","","Laurentia-Superior","46.6","270.4","1088","3","13","N","0","298.6","36.0","25.0","25.0","33.9","174.0","22.1","2","Books, K.G.","U.S. Geol. Surv. Prof. Paper 760","1972","","1-42",""
"5893","i","Gogebic rhyolite flows","US","","Laurentia-Superior","46.7","270.4","1088","3","13","N","0","287.2","28.0","9.7","164.0","22.5","178.5","7.8","2","Books, K.G.","U.S. Geol. Surv. Prof. Paper 760","1972","","1-42",""
"6668","i","Chipman Lake carbonatite complex","CA","","Laurentia-Superior","49.9","273.7","1090","14","76","M","14","295.6","48.8","8.2","24.5","38.4","186.1","8.8","3","Symons, D.T.A.","Can. J. Earth Sci.","1992","29","1215-1223","http://dx.doi.org/10.1139/e92-097"
"1655","i","Copper Harbor lavas","US","P","Laurentia-Superior","47.4","271.7","1090","7","34","N","0","299.0","37.9","3.9","239.2","34.9","175.6","3.5","5","Halls, H.C., Palmer, H.C.","Can. J. Earth Sci.","1981","18","1395-1408","http://dx.doi.org/10.1139/e81-131"
"10579","s","Copper Harbor conglomerate","CA","","Laurentia-Superior","47.5","271.8","1090","3","22","N","0","278.9","14.7","5.5","511.0","30.3","181.0","4","4","Palmer, H.C., Halls, H.C., Pesonen, L.J.","Can. J. Earth Sci.","1981","18","599-618","http://dx.doi.org/10.1139/e81-053"
"3278","i","Copper Harbor lavas","US","","Laurentia-Superior","47.0","271.5","1090","6","1000","N","0","282.0","12.0","12.0","29.7","13.0","176.0","8.5","4","Vincenz, S.A., Yaskawa, K.","J. Geophys. Res.","1968","73","2753-2767","http://dx.doi.org/10.1029/JB073i008p02753"
"1656","i","Copper Harbor lavas","US","S1","Laurentia-Superior","47.4","271.7","1090","5","21","N","0","287.4","19.5","6.4","210.0","19.1","175.7","4.8","3","Halls, H.C., Palmer, H.C.","Can. J. Earth Sci.","1981","18","1395-1408","http://dx.doi.org/10.1139/e81-131"
"5872","i","Copper Harbor lavas","US","","Laurentia-Superior","47.0","271.5","1090","4","25","N","0","294.0","32.0","7.0","20.0","29.0","176.0","5.3","3","Du Bois, P.M.","Geol. Surv. Can. Bull.","1962","71","75pp.",""
"10584","i","Copper Harbor baked contact pebbles","CA","","Laurentia-Superior","47.5","271.8","1090","1","22*","N","0","292.0","38.0","3.8","272.0","26.5","178.8","3.5","4","Palmer, H.C., Halls, H.C., Pesonen, L.J.","Can. J. Earth Sci.","1981","18","599-618","http://dx.doi.org/10.1139/e81-053"
"1657","i","Copper Harbor lavas","US","S2","Laurentia-Superior","47.4","271.7","1090","3","9*","N","0","284.7","9.3","2.6","393.1","13.4","174.0","1.8","3","Halls, H.C., Palmer, H.C.","Can. J. Earth Sci.","1981","18","1395-1408","http://dx.doi.org/10.1139/e81-131"
"10093","s","Dox sandstone, upper member, Grand Canyon Springs","US","","Laurentia-Yavapai","36.1","248.2","1090","47","?","N","0","282.0","36.9","3.3","40.9","21.4","168.7","3","3","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"2867","i","Town Mountain granite","US","","Laurentia-Yavapai","31.8","261.4","1091","3","17","M","33","242.0","21.0","37.0","12.0","-17.0","197.0","27.6","2","Spall, H.","Texas J. Sci.","1972","23","479-496",""
"2590","i","Cardenas lavas, weathered zone","US","","Laurentia-Yavapai","36.1","248.2","1091","1","5*","N","0","306.6","65.7","8.6","79.4","49.4","192.2","12.7","3","Elston, D.P., Scott, G.R.","Earth Plan. Sci. Lett.","1973","18","253-265","http://dx.doi.org/10.1016/0012-821X(73)90064-2"
"9073","m","Cardenas basalts and intrusions","US","","Laurentia-Yavapai","36.1","248.1","1091","16","114","N","0","285.5","57.0","6.4","33.9","32.0","185.0","8","4","Weil, A.B., Geissman, J.W., Heizler, M., Van der Voo, R.","Tectonophys.","2003","375","199-220","http://dx.doi.org/10.1016/S0040-1951(03)00339-1"
"2591","i","Cardenas lavas and sandstone","US","","Laurentia-Yavapai","36.1","248.2","1091","10","23","N","0","253.5","38.9","6.9","49.8","0.4","185.4","6.3","3","Elston, D.P., Scott, G.R.","Earth Plan. Sci. Lett.","1973","18","253-265","http://dx.doi.org/10.1016/0012-821X(73)90064-2"
"10089","i","Cardenas basalts, Grand Canyon Springs","US","","Laurentia-Yavapai","36.1","248.1","1091","13","?","N","0","260.9","42.8","5.7","53.9","7.6","183.4","5.5","4","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
