"RES#";"ROCK";"ROCKUNIT";"CNTRY";"COMP";"CRAT";"SLAT";"SLON";"LMA";"HMA";"ISOAGE";"AGEREF";"AGEREF2";"MET";"AGE";"B";"N";"P";"R%";"D";"I";"alfa95";"k";"PLAT";"PLON";"DP";"DM";"A95";"1";"2";"3";"4";"5";"6";"PMAGREF";"COMMENT";"RECALC"
"1741";"i";"Mistassini dyke swarm";"CA";NULL;"Superior-east";"51.5";"286.5";"1800";"1900";NULL;"APWP";NULL;"a, m";"1850";"11";"25";"M";"18";"250.0";"88.0";"5.5";"29.0";"50.0";"280.0";"11.0";"11.0";"11.0";"0";"1";"1";"0";"1";"1";"Fahrig et al. (1986)";"Primary component";"0"
"1742";"i";"Mistassini dyke swarm";"CA";"ovp.";"Laurentia-Superior";"51.5";"286.5";"1400";"1500";NULL;"APWP";NULL;"a, m";"1450";"13";"46";"M";"23";"56.0";"-17.5";"9.6";"20.0";"-12.9";"229.1";"5.2";"10.0";"7.2";"0";"1";"1";"0";"1";"1";"Fahrig et al. (1986)";"Ages 1925 ± 60 Ma (chilled margin) and 1960 ± 58 Ma (contact rock). Elsonian age overprint?";"0"
"1743";"s";"Katherine group";"CA";"KA";"Laurentia-Mackenzie";"64.6";"232.1";"780";"880";NULL;"GPMDB 4.6";NULL;"s";"830";"5";"13";"M";"20";"267.0";"21.0";"7.0";"33.5";"9.0";"150.0";"4.0";"8.0";"5.7";"0";"0";"1";"0";"1";"1";"Park and Aitken (1986b)";"Regarded as primary component, DRM carried by hematite.";"0"
"1744";"s";"Katherine group";"CA";"KB";"Laurentia-Mackenzie";"64.6";"232.1";"700";"780";NULL;"GPMDB 4.6";NULL;"s";"740";"4";"36";"N";"0";"258.0";"42.0";"5.0";"326.0";"17.0";"164.0";"4.0";"6.0";"4.9";"0";"1";"1";"1";"1";"0";"Park and Aitken (1986b)";"Secondary component in hematite pigment.";"0"
"1752";"i";"Sept-Iles layered intrusion";"CA";"A";"Laurentia-Grenville";"50.2";"293.5";"561";"569";"565 ± 4";"Higgins and van Breemen (1998)";NULL;"g";"565";"10";"51";"N";"0";"333.0";"-29.0";"8.0";"34.0";"20.0";"141.0";"5.0";"9.0";"6.7";"1";"1";"1";"1";"1";"0";"Tanczyk et al. (1987)";NULL;"0"
"1754";"i";"Sept-Iles dykes and baked contacts";"CA";"B";"Laurentia-Grenville";"50.2";"293.5";"535";"569";"535-586";"Higgins and van Breemen (1998)";NULL;"e/f";"552";"16";"76";"M";"56";"105.4";"82.1";"5.1";"53.2";"-44.0";"134.5";"9.7";"9.9";"9.8";"1";"1";"1";"1";"1";"1";"Tanczyk et al. (1987)";"Tilt-corrected.";"0"
"1830";"s";"Buldiva quartzite";"AU";NULL;"North Australia";"-14.0";"132.0";"1400";"1735";NULL;"Crispe et al. (2007)";"APWP";"a, s";"1568";"1";"8";"R";"100";"243.0";"38.0";"12.0";"22.3";"30.0";"239.0";"8.0";"14.0";"10.6";"0";"0";"0";"0";"1";"0";"Irving and Green (1958)";NULL;"0"
"1831";"i";"Nullagine lavas";"AU";NULL;"Pilbara";"-21.0";"120.0";"2715";"2774";NULL;"Strik et al. (2003)";NULL;"s";"2745";"1";"5*";"N";"0";"143.0";"64.0";"8.0";"92.0";"51.0";"342.0";"10.1";"12.7";"11.3";"0";"0";"0";"0";"1";"0";"Irving and Green (1958)";NULL;"0"
"1832";"i";"Edith River volcanics";"AU";NULL;"North Australia";"-13.0";"132.0";"1821";"1829";NULL;"Page (1994)";NULL;"s";"1825";"10";"10";"R";"100";"90.0";"48.0";"18.0";"8.2";"-6.0";"194.0";"15.0";"24.0";"19.0";"0";"0";"0";"0";"1";"0";"Irving and Green (1958)";NULL;"0"
"1875";"s";"Lower Marinoan sandstones, Adelaide System";"AU";NULL;"South Australia";"-35.1";"138.5";"580";"640";"724 ± 40";"Fanning and Link (2008)";NULL;"s, e";"610";"4";"7*";"R";"100";"7.0";"11.0";"10.3";"35.0";"49.0";"149.0";"5.3";"10.4";"7.4";"0";"0";"0";"0";"1";"0";"Briden (1967)";"Age 724 ± 40 Ma for Early Marinoan, dp, dm and A95 recalculated.";"1"
"1876";"s";"Upper Marinoan sandstones, Adelaide System";"AU";NULL;"South Australia";"-35.1";"138.5";"541";"600";NULL;"Bowring et al. (2007)";"Webb et al. (1983)";"s";"571";"3";"7*";"N";"0";"191.0";"39.0";"30.0";"5.0";"74.0";"178.0";"35.8";"21.3";"27.6";"0";"0";"0";"0";"1";"0";"Briden (1967)";"Reynella quarries correlated broadly to Elatina.";"0"
"1879";"s";"Iron Monarch -N";"AU";"pos.";"South Australia";"-33.0";"137.0";"1500";"1590";NULL;"De Kock et al. (2008)";NULL;"s, m";"1545";"1";"28*";"R";"100";"283.0";"63.0";"8.0";"12.0";"15.0";"272.0";"9.9";"12.6";"12.0";"0";"1";"0";"0";"1";"0";"Chamalaun and Porath (1968)";"Authors pay attention to the reversal asymmetry.";"0"
"1880";"s";"Iron Monarch -R";"AU";"neg.";"South Australia";"-33.0";"137.0";"1500";"1650";NULL;"De Kock et al. (2008)";NULL;"s, m";"1575";"1";"13*";"N";"0";"26.0";"-58.0";"10.0";"19.0";"68.0";"250.0";"10.9";"14.7";"9.0";"0";"0";"0";"0";"1";"0";"Chamalaun and Porath (1968)";NULL;"0"
"1881";"s";"Iron Prince sediments";"AU";NULL;"South Australia";"-33.0";"137.0";"1500";"1590";NULL;"De Kock et al. (2008)";NULL;"s, m";"1545";"1";"22*";"N";"0";"63.0";"-46.0";"8.0";"16.0";"36.0";"239.0";"6.5";"10.2";"9.5";"0";"0";"0";"0";"1";"0";"Chamalaun and Porath (1968)";NULL;"0"
"1882";"s";"Mt. Goldsworthy iron ore younger";"AU";"G1";"Pilbara";"-20.5";"119.5";"1250";"1450";NULL;"APWP";NULL;"m, s";"1350";"1";"31*";"N";"0";"317.0";"54.5";"5.5";"23.6";"19.5";"84.0";"5.5";"7.8";"6.0";"0";"1";"0";"0";"1";"0";"Porath and Chamalaun (1968)";NULL;"0"
"1883";"s";"Mt. Goldsworthy iron ore, older";"AU";"G3";"Pilbara";"-20.0";"119.5";"1600";"2770";NULL;"De Kock et al. (2008)";NULL;"s";"2185";"1";"8*";"R";"100";"115.0";"73.5";"8.5";"45.0";"30.5";"329.5";"13.7";"15.3";"12.5";"0";"0";"0";"0";"1";"0";"Porath and Chamalaun (1968)";NULL;"0"
"1884";"s";"Mt. Goldsworthy iron ore middle";"AU";"G2";"Pilbara";"-20.5";"119.5";"1500";"1590";NULL;"APWP";NULL;"m, s";"1545";"1";"6*";"R";"100";"263.0";"68.5";"12.0";"31.0";"-21.5";"79.0";"17.1";"20.3";"19.0";"0";"0";"0";"0";"1";"0";"Porath and Chamalaun (1968)";NULL;"0"
"1885";"s";"Mt. Goldsworthy iron ore older";"AU";NULL;"Pilbara";"-20.5";"119.5";"1510";"1610";NULL;"APWP";NULL;"m, s";"1560";"1";"9*";"R";"100";"298.0";"68.0";"10.0";"27.0";"0.2";"85.8";"14.1";"16.8";"15.4";"0";"0";"0";"0";"1";"0";"Porath and Chamalaun (1968)";NULL;"0"
"1886";"s";"Dowd's Hill ore body";"AU";NULL;"Yilgarn";"-31.0";"120.0";"650";"3000";NULL;"GPMDB 4.6";NULL;"s";"1825";"1";"35*";"N";"0";"303.0";"-60.5";"6.5";"15.0";"43.0";"356.0";"7.5";"9.9";"8.5";"0";"1";"0";"0";"1";"0";"Porath and Chamalaun (1968)";NULL;"0"
"1887";"s";"Mt. Tom Price, Hamersley iron province";"AU";NULL;"Pilbara";"-22.0";"118.0";"1800";"2600";NULL;"De Kock et al. (2008)";NULL;"s";"2200";"1";"28*";"N";"0";"304.0";"25.0";"12.0";"6.1";"22.0";"57.0";"6.9";"12.9";"12.0";"0";"0";"0";"0";"1";"0";"Porath and Chamalaun (1968)";NULL;"0"
"1888";"s";"Mt. Newman ore, Hamersley iron province";"AU";NULL;"Pilbara";"-23.0";"119.5";"1800";"2600";NULL;"De Kock et al. (2008)";NULL;"s";"2200";"1";"20*";"N";"0";"302.0";"39.0";"9.5";"12.0";"17.0";"66.0";"6.8";"11.3";"9.5";"0";"0";"0";"0";"1";"0";"Porath and Chamalaun (1968)";NULL;"0"
"1889";"i";"Widgiemooltha dyke suite";"AU";NULL;"Yilgarn";"-32.0";"122.0";"2412";"2418";"2418 ± 3, 2410.3 ± 2.1";"Nemchin and Pidgeon (1998)";"French et al. (2002)";"g";"2415";"11";"40";"M";"9";"242.0";"-67.0";"6.0";"67.9";"8.0";"337.0";"7.5";"9.0";"8.2";"1";"1";"0";"0";"1";"1";"Evans (1968)";NULL;"0"
"1895";"i";"Cape Smith basalts";"CA";NULL;"Laurentia-Superior";"60.8";"281.8";"1550";"1770";"1450, 1650";"Fujiwara and Schwarz (1975)";NULL;"a, d";"1625";"30";"300";"N";"0";"218.0";"60.0";"4.0";"47.0";"16.0";"253.0";"4.0";"5.0";"4.5";"0";"1";"1";"0";"1";"0";"Fujiwara and Schwarz (1975)";"Magnetization acquired in Hudsonian Orogeny ?";"0"
"1898";"i";"Giles complex";"AU";NULL;"West Australia";"-26.2";"128.7";"1068";"1083";"1078 ± 3, 1073 ± 5, 1078 ± 5";"Wingate et al. (2004)";NULL;"g";"1075";"4";"39";"M";"?";"169.0";"-86.0";"12.0";"3.2";"18.4";"307.1";"23.7";"23.8";"23.7";"1";"0";"0";"0";"1";"1";"Facer (1971)";"Ages 1078 ± 3 Ma and 1073 ± 5 Ma for intrusions and 1078 ± 5 Ma for volcanics.";"0"
"1901";"s";"Arumbera sandstone";"AU";NULL;"North Australia";"-23.8";"133.0";"530";"560";NULL;"APWP";"Bowring et al. (2007)";"a, s";"545";"16";"32";"R";"0";"27.5";"78.5";"15.8";"6.4";"-3.9";"143.0";"28.2";"29.9";"29.0";"0";"0";"1";"0";"1";"0";"Embleton (1972)";"Not sure whether this is lower or upper ChRM.";"0"
"1920";"s";"Pound quartzite";"AU";NULL;"South Australia";"-31.0";"138.5";"541";"550";NULL;"Bowring et al. (2007)";NULL;"foss";"546";"1";"10*";"M";"80";"203.0";"17.0";"27.7";"4.7";"60.0";"186.0";"23.5";"23.5";"23.5";"1";"0";"0";"0";"1";"1";"Embleton and Giddings (1974)";NULL;"0"
"1928";"s";"Lakeview dolerite IA intrusion";"AU";NULL;"North Australia";"-21.7";"141.6";"1139";"1141";"1140 ± 1, 1116 ± 12";"Claoue-Long (2001)";NULL;"g, e/f";"1140";"4";"18*";"R";"100";"297.0";"80.0";"5.9";"35.3";"12.0";"304.0";"10.8";"11.3";"11.0";"1";"0";"0";"0";"1";"0";"Duff and Embleton (1976)";"Age 1116 ± 12 Ma for Lakeview dolerite dyke.";"0"
"1929";"i";"Mt. Isa intrusives";"AU";"IB";"North Australia";"-20.8";"140.0";"1000";"1480";NULL;"GPMDB 4.6";NULL;"s, m";"1240";"2";"14*";"M";"50";"208.0";"60.0";"8.4";"23.4";"53.0";"282.0";"9.6";"12.7";"11.0";"0";"0";"0";"0";"1";"1";"Duff and Embleton (1976)";"Site coordinates corrected to match those in MagIC database.";"1"
"1930";"i";"Lunch Creek gabbro";"AU";NULL;"North Australia";"-20.8";"138.3";"1710";"1770";"1740 ± 30";"Page (1983)";NULL;"e/f";"1740";"6";"42*";"M";"60";"152.0";"50.0";"7.3";"86.2";"-63.0";"201.0";"6.5";"9.8";"8.0";"1";"1";"0";"0";"1";"1";"Duff and Embleton (1976)";NULL;"0"
"1940";"i";"Hart dolerite";"AU";NULL;"North Australia";"-17.5";"127.0";"1786";"1794";"1790 ± 4, 1762 ± 25";"Page (1994)";NULL;"g, e/f";"1790";"12";"36";"M";"83";"121.0";"2.0";"31.0";"2.9";"-29.0";"226.0";"15.5";"31.0";"24.0";"1";"0";"0";"0";"1";"1";"McElhinny and Evans (1976)";"U-Pb age from Ozchron (2004).";"0"
"1941";"i";"Group GA dykes, Gawler block";"AU";NULL;"South Australia";"-34.5";"136.0";"1500";"1650";"1470 ± 200";"De Kock et al. (2008)";NULL;"e/f";"1575";"12";"34";"N";"0";"34.7";"-49.7";"8.5";"26.8";"61.4";"230.8";"7.5";"11.3";"8.6";"0";"1";"0";"0";"1";"0";"Giddings and Embleton (1976)";NULL;"0"
"1942";"i";"Group GB dykes, Gawler block";"AU";NULL;"South Australia";"-34.5";"136.0";"1500";"1590";"1665 ± 100";"De Kock et al. (2008)";NULL;"e/f";"1545";"22";"70";"R";"100";"272.5";"61.1";"8.5";"14.1";"22.8";"266.4";"10.0";"13.0";"11.3";"0";"1";"0";"0";"1";"0";"Giddings and Embleton (1976)";NULL;"0"
"1943";"i";"Group YA dykes, Yilgarn block";"AU";NULL;"Yilgarn";"-32.0";"116.0";"1700";"2500";"2500, 1700";"GPMDB 4.6";NULL;"a, e/f";"2100";"6";"23";"M";"33";"61.1";"80.6";"10.0";"45.5";"21.7";"313.7";"18.5";"19.2";"17.9";"0";"0";"0";"1";"1";"1";"Giddings (1976)";"Older than YC group.";"0"
"1945";"i";"Group YC dykes";"AU";NULL;"Yilgarn";"-32.0";"116.0";"1100";"1300";"<1470";"APWP";NULL;"a, e/f, s";"1200";"11";"37";"M";"9";"347.7";"-53.0";"10.8";"18.9";"79.5";"14.1";"10.4";"15.0";"12.5";"0";"1";"0";"1";"1";"1";"Giddings (1976)";"Older than YB group of dykes.";"0"
"1946";"i";"Group YD dykes, Yilgarn block";"AU";NULL;"Yilgarn";"-32.0";"116.0";"1665";"2500";">1665";"GPMDB 4.6";NULL;"s, e/f";"2083";"10";"30";"M";"90";"257.6";"45.5";"9.5";"26.5";"23.5";"226.1";"7.7";"12.1";"9.9";"0";"1";"0";"1";"1";"1";"Giddings (1976)";"Older than YC dykes, younger than YA dykes.";"0"
"1947";"i";"Group YE dykes, Yilgarn block";"AU";NULL;"Yilgarn";"-32.0";"116.0";"2300";"2700";"2500";"GPMDB 4.6";NULL;"a, e/f";"2500";"3";"7";"N";"0";"232.1";"-8.1";"46.1";"8.3";"28.3";"180.4";"23.4";"46.4";"31.0";"0";"0";"0";"0";"1";"0";"Giddings (1976)";NULL;"0"
"1948";"i";"Group YF dykes";"AU";NULL;"Yilgarn";"-32.0";"116.0";"1500";"1900";"1700";"GPMDB 4.6";NULL;"e/f";"1700";"10";"35";"M";"50";"344.9";"50.8";"10.5";"22.0";"24.7";"101.8";"9.6";"14.2";"14.0";"0";"1";"0";"0";"1";"1";"Giddings (1976)";NULL;"0"
"1949";"i";"Ravensthorpe dykes, Yilgarn block";"AU";NULL;"West Australia";"-34.0";"120.0";"1110";"1310";"2450 ± 100";"Giddings (1976)";NULL;"e/f";"1210";"4";"11";"R";"0";"114.3";"82.9";"13.2";"50.0";"38.3";"316.2";"25.5";"25.5";"25.5";"0";"0";"0";"0";"1";"0";"Giddings (1976)";NULL;"0"
"1950";"i";"Morawa Lavas";"AU";NULL;"Yilgarn";"-30.0";"116.0";"1220";"1500";"1360 ± 140";"Giddings (1976)";NULL;"e/f";"1360";"1";"8*";"N";"100";"309.0";"-38.1";"14.0";"16.7";"42.8";"22.4";"9.8";"16.6";"14.7";"0";"0";"0";"0";"1";"0";"Giddings (1976)";NULL;"0"
"1954";"i";"Black Range dyke";"AU";NULL;"Pilbara";"-21.0";"119.4";"2770";"2774";"2772 ± 2";"Wingate (1999)";NULL;"g";"2772";"16";"57";"N";"0";"115.0";"72.0";"6.0";"40.0";"32.0";"334.0";"9.3";"10.6";"9.0";"1";"1";"1";"0";"1";"0";"Embleton (1978)";NULL;"0"
"1955";"i";"Cajuput dyke";"AU";NULL;"Pilbara";"-22.0";"121.1";"2770";"2774";"2772 ± 2";"Wingate (1999)";NULL;"corr., g";"2772";"9";"25";"N";"0";"145.0";"71.0";"13.0";"16.0";"46.0";"326.0";"19.7";"22.6";"22.0";"1";"1";"1";"0";"1";"0";"Embleton (1978)";"Age by correlation to Black Range dyke.";"0"
"1956";"s";"Lower Arumbera and upper Pertatataka formations";"AU";"HT";"North Australia";"-23.4";"133.4";"541";"580";NULL;"Bowring et al. (2007)";NULL;"corr.";"561";"1";"12*";"M";"?";"20.2";"32.4";"12.0";"14.0";"44.3";"161.9";"7.7";"13.6";"10.2";"0";"0";"1";"1";"1";"1";"Kirschvink (1978)";NULL;"0"
"1988";"s";"Nexö sandstone";"DK";NULL;"Baltica-Rest";"55.1";"15.1";"513";"600";NULL;"GPMDB 4.6";NULL;"s";"557";"14";"77";"R";"100";"226.0";"-30.0";"11.5";"13.0";"37.5";"134.5";"7.0";"11.0";"8.8";"0";"1";"1";"0";"1";"0";"Prasad and Sharma (1978)";NULL;"0"
"2006";"i";"Montrose kimberlite";"ZA";NULL;"Kalahari";"-25.8";"28.5";"1000";"1300";NULL;"GPMDB 4.6";NULL;"corr.";"1150";"1";"1";"R";"100";"193.0";"11.0";NULL;NULL;"66.0";"62.0";NULL;NULL;NULL;"0";"0";"0";"0";"1";"0";"Ito et al. (1978)";NULL;"0"
"2007";"i";"National kimberlite";"ZA";NULL;"Kalahari";"-25.8";"28.5";"1000";"1300";NULL;"GPMDB 4.6";NULL;"corr.";"1150";"1";"1";"R";"100";"185.0";"-58.0";NULL;NULL;"26.0";"33.0";NULL;NULL;NULL;"0";"0";"0";"0";"1";"0";"Ito et al. (1978)";NULL;"0"
"2008";"i";"Premier kimberlite";"ZA";NULL;"Kalahari";"-25.7";"28.5";"1200";"1300";"1250, 1115 ± 15";"GPMDB 4.6";NULL;"e";"1250";"1";"2*";"R";"100";"165.0";"-3.0";NULL;NULL;"59.0";"358.0";NULL;NULL;NULL;"0";"0";"0";"0";"1";"0";"Ito et al. (1978)";NULL;"0"
"2020";"s";"Jacobsville formation";"US";"J1(C)";"Laurentia-Superior";"46.6";"274.7";"993";"1073";NULL;"APWP";NULL;"a, m";"1033";"6";"30";"N";"0";"286.0";"2.0";"13.0";"26.0";"12.0";"175.0";"6.5";"13.0";"9.2";"1";"1";"1";"0";"1";"0";"Roy and Robertson (1978)";"Age from APWP between Lake Shore traps and Haliburton.";"0"
"2021";"s";"Jacobsville formation";"US";"J1(SA)";"Laurentia-Superior";"47.0";"271.6";"980";"1080";NULL;"APWP";NULL;"a, m";"1030";"8";"41";"N";"0";"254.0";"-12.0";"9.0";"42.0";"-16.0";"190.0";"5.0";"9.0";"6.7";"1";"1";"1";"0";"1";"0";"Roy and Robertson (1978)";"Age from APWP between Lake Shore traps and Haliburton.";"0"
"2022";"s";"Jacobsville formation";"US";"J1(A)";"Laurentia-Superior";"47.2";"271.5";"980";"1080";NULL;"APWP";NULL;"a, m";"1030";"19";"61";"M";"36";"262.0";"-12.0";"6.0";"31.0";"-10.0";"184.0";"3.0";"6.0";"4.2";"1";"1";"1";"0";"1";"1";"Roy and Robertson (1978)";"Age from APWP between Lake Shore traps and Haliburton.";"0"
"2023";"s";"Jacobsville formation";"US";"J1(B)";"Laurentia-Superior";"46.5";"272.5";"993";"1073";NULL;"APWP";NULL;"a, m";"1033";"5";"27";"M";"20";"268.0";"-5.0";"16.0";"23.0";"-3.0";"182.0";"8.0";"16.0";"11.3";"1";"1";"1";"0";"1";"1";"Roy and Robertson (1978)";"Age from APWP between Lake Shore traps and Haliburton.";"0"
"2024";"s";"Jacobsville formation";"US";"J2";"Laurentia-Superior";"46.6";"273.5";"950";"1050";NULL;"APWP";NULL;"a, m";"1000";"13";"110";"N";"0";"21.0";"74.0";"9.0";"23.0";"72.0";"307.0";"13.0";"16.0";"14.4";"0";"1";"1";"0";"1";"0";"Roy and Robertson (1978)";"Probably a mixed component, steep inclination.";"1"
"2046";"i";"Gwalior traps";"IN";"2";"India-Bundelkhand";"26.0";"78.0";"1678";"1918";"1798 ± 120";"Pradhan et al. (2010)";NULL;"e/f";"1798";"1";"12*";"N";"0";"78.5";"25.8";"6.3";"47.5";"16.0";"160.5";"3.7";"6.8";"5.0";"0";"0";"0";"0";"1";"0";"McElhinny et al. (1978)";NULL;"0"
"2047";"s";"Bhander and Rewa series, Upper Vindhyan";"IN";NULL;"India-Bundelkhand";"27.0";"77.5";"530";"650";NULL;"Athavale et al. (1972)";NULL;"s";"590";"7";"21";"M";"86";"203.4";"8.1";"11.1";"17.5";"51.0";"217.8";"5.6";"11.2";"7.9";"0";"0";"0";"0";"1";"1";"McElhinny et al. (1978)";NULL;"0"
"2048";"s";"Bhander and Rewa series, Upper Vindhyan";"IN";"comb.";"India-Bundelkhand";"27.0";"77.5";"540";"1070";NULL;"Athavale et al. (1972)";NULL;"s";"805";"18";"83";"M";"6";"208.7";"10.8";"8.0";"19.6";"47.3";"212.7";"5.8";"5.8";"5.8";"0";"1";"0";"0";"1";"1";"McElhinny et al. (1978)";"Combined  2047, 2496, 2497 and 2884.";"0"
"2051";"s";"Freda sandstone";"US";"HT";"Laurentia-Superior";"47.0";"271.5";"1020";"1090";"1046 ± 46, 1050 ± 30";"APWP";"Wingate et al. (2002)";"s";"1070";"20";"85";"N";"0";"272.4";"1.5";"5.9";"32.0";"2.2";"179.0";"3.0";"5.9";"4.2";"1";"1";"1";"0";"1";"0";"Henry et al. (1977)";"APWP age estimated by Rainbird et al. (2017).";"0"
"2052";"s";"Freda sandstone";"US";"IT";"Laurentia-Superior";"47.0";"271.5";"600";"1000";NULL;"GPMDB 4.6";NULL;"s";"800";"?";"34";"R";"0";"280.6";"-9.5";"2.7";"81.0";"3.7";"169.2";"1.4";"2.8";"2.0";"0";"1";"1";"0";"1";"0";"Henry et al. (1977)";"Late Precambrian CRM suggested by authors";"0"
"2053";"s";"Nonesuch shale";"US";NULL;"Laurentia-Superior";"47.0";"271.5";"1020";"1090";"1050 ± 30, 1046 ± 46";"APWP";"Wingate et al. (2002)";"a, e/f";"1080";"11";"27";"N";"0";"276.8";"8.1";"7.8";"35.0";"7.6";"178.1";"3.9";"7.8";"5.5";"1";"1";"1";"0";"1";"0";"Henry et al. (1977)";NULL;"0"
"2055";"i";"Harp Lake complex -C";"CA";NULL;"Laurentia-Nain";"55.0";"297.7";"1445";"1455";"1450 ± 5, 1449 ± 44, 1482 ± 45";"Krogh and Davis (1973)";NULL;"g, d";"1450";"24";"110";"C";"58";"273.0";"0.8";"6.1";"25.0";"1.6";"206.3";"3.0";"6.1";"4.3";"1";"1";"1";"0";"0";"1";"Irving et al. (1977)";NULL;"0"
"2056";"i";"Harp dykes";"CA";NULL;"Laurentia-Nain";"55.0";"298.0";"1272";"1274";"1273 ± 1";"Cadman et al. (1993)";NULL;"g";"1273";"3";"14";"N";"0";"263.0";"44.4";"7.1";"300.0";"18.6";"228.1";"5.6";"9.0";"7.1";"1";"0";"1";"0";"1";"0";"Irving et al. (1977)";NULL;"0"
"2057";"i";"Harp Lake complex (thermal aureole)";"CA";NULL;"Laurentia-Nain";"54.8";"298.6";"1300";"1450";NULL;"APWP";NULL;"a, s";"1375";"6";"22";"M";"17";"272.4";"28.9";"9.7";"49.0";"14.1";"215.8";"5.9";"10.7";"7.9";"0";"0";"1";"0";"0";"1";"Irving et al. (1977)";NULL;"0"
"2058";"i";"Castignon complex";"CA";"A";"Superior-east";"56.5";"291.3";"1825";"1925";"1875 ± 50";"GPMDB 4.6";NULL;"d";"1875";"5";"24";"N";"0";"217.0";"67.0";"9.0";"69.0";"22.0";"268.0";"14.0";"14.0";"14.0";"0";"0";"1";"0";"0";"0";"Park (1977)";"Age on associated lamphrophyre pipe.";"0"
"2059";"s";"Menihek formation";"CA";"A";"Laurentia-Superior";"56.5";"291.0";"1743";"1880";"1815 ± 72";"GPMDB 4.6";NULL;"e/f";"1812";"1";"5*";"R";"100";"154.0";"21.0";"10.9";"50.0";"-19.0";"318.0";"6.0";"11.5";"0.0";"0";"0";"1";"0";"1";"0";"Park (1977)";NULL;"0"
"2060";"s";"Menihek formation";"CA";"B";"Laurentia-Superior";"56.8";"290.7";"1700";"1800";"1815 ± 72";"Park (1977)";NULL;"a, e/f";"1750";"5";"25";"M";"40";"195.0";"57.0";"16.0";"23.0";"6.0";"279.0";"16.9";"23.3";"21.0";"0";"1";"1";"0";"1";"1";"Park (1977)";NULL;"0"
"2061";"s";"Menihek formation";"CA";"C";"Laurentia-Superior";"56.8";"290.7";"1100";"1200";"1815 ± 72";"GPMDB 4.6";NULL;"a, e/f";"1150";"4";"20";"N";"0";"298.0";"72.0";"16.0";"32.0";"59.0";"229.0";"24.9";"28.2";"26.0";"0";"0";"1";"0";"1";"0";"Park (1977)";NULL;"0"
"2062";"i";"Retty peridotite";"CA";"A";"Laurentia-Superior";"56.5";"291.0";"1700";"1900";NULL;"GPMDB 4.6";NULL;"s";"1800";"2";"7*";"N";"0";"185.0";"7.0";"25.5";"97.8";"-29.5";"284.0";"25.6";"12.9";"18.2";"0";"0";"1";"0";"0";"0";"Park (1977)";NULL;"0"
"2063";"i";"Retty peridotite (site 34)";"CA";"B";"Laurentia-Superior";"56.5";"291.0";"1700";"1800";NULL;"APWP";NULL;"a, m";"1750";"1";"5*";"N";"0";"199.0";"56.0";"22.0";"13.3";"5.0";"278.0";"22.7";"31.6";"0.0";"0";"0";"1";"0";"0";"0";"Park (1977)";NULL;"0"
"2064";"s";"Seward formation";"CA";"A";"Laurentia-Superior";"56.3";"291.5";"1700";"1900";NULL;"GPMDB 4.6";NULL;"s";"1800";"2";"8*";"N";"0";"203.5";"15.5";"25.0";"101.6";"-23.0";"266.0";"25.7";"13.2";"18.4";"0";"0";"1";"0";"1";"0";"Park (1977)";NULL;"0"
"2065";"s";"Seward formation";"CA";"B";"Laurentia-Superior";"56.3";"291.5";"1500";"1700";NULL;"GPMDB 4.6";NULL;"s";"1600";"5";"22";"R";"0";"227.0";"47.0";"17.0";"23.0";"5.0";"251.0";"14.2";"22.0";"16.0";"0";"0";"1";"0";"1";"0";"Park (1977)";NULL;"0"
"2066";"s";"Seward formation";"CA";"C";"Laurentia-Superior";"56.3";"291.5";"1000";"1200";NULL;"GPMDB 4.6";NULL;"s";"1100";"6";"30";"M";"17";"281.0";"77.0";"5.0";"175.0";"53.0";"248.0";"8.7";"9.3";"9.0";"0";"1";"1";"0";"1";"1";"Park (1977)";"Estimated Keweenawan age.";"0"
"2067";"i";"Wakuach gabbro - Willbob basalts";"CA";"C";"Laurentia-Superior";"56.5";"291.6";"1000";"1200";NULL;"GPMDB 4.6";NULL;"s";"1100";"5";"18";"N";"0";"305.0";"67.0";"16.0";"11.0";"61.0";"220.0";"21.9";"26.5";"24.0";"0";"0";"1";"0";"0";"0";"Park (1977)";"Secondary magnetization.";"0"
"2076";"s";"Spokane formation";"US";"HT";"Laurentia-Wyoming";"48.2";"246.2";"1445";"1471";"1457.5 ± 12.5, 1468 ± 2";"Evans et al. (2000)";NULL;"s, g";"1459";"14";"88";"N";"0";"201.7";"40.2";"5.1";"61.0";"-15.5";"225.5";"3.7";"6.2";"4.8";"1";"1";"1";"1";"1";"0";"Vitorello and Van der Voo (1977)";"Primary component. Predates Helena bentonite 1454 ± 9; probably postdates Moyie sills (soft-sediment intrusion into Prichard) U-Pb ages mainly ca. 1468 ± 2 Ma.";"0"
"2077";"s";"Spokane formation";"US";"Int.";"Laurentia-Wyoming";"48.2";"246.2";"600";"750";NULL;"GPMDB 4.6";NULL;"s";"675";"11";"28";"M";"21";"267.9";"15.5";"9.6";"23.2";"5.0";"163.5";"5.1";"9.9";"7.1";"0";"1";"1";"1";"1";"1";"Vitorello and Van der Voo (1977)";"Intermediate component, secondary.";"0"
