Q,A95,Com,Formation,Lat,Lon,CLat,CLon,RLat,RLon,EULER,Age,GPDB RefNo/Reference,RLat_Laur,RLon_Laur
3,13.9,N,"Kotuy River Siberian Traps, Siberia",-52.7,328.4,-52.7,328.4,-44.8,59.6,( 46/ 3.9/ 58.2),251, Pavlov et al. (2007) ,,
5,2.1,N,Siberian Traps NSP1 pole,-56.4,321.7,-56.4,321.7,-49.9,62,( 46/ 3.9/ 58.2),251, Pavlov et al. (2007),,
6,5,,"Sudetes sediments, Poland",-50,343,-59.3,336.5,-44.1,70.7,( 46/ 3.9/ 58.2),251,"3161,T",,
3,5.3,N,"Stolbovaya River Siberian Traps, Siberia ",-53.3,330.2,-53.3,330.2,-44.2,61.1,( 46/ 3.9/ 58.2),251,Pavlov et al. (2007) ,,
3,5,N,"Big Nirundaiver intrusion and sediments, Siberia",-54.3,323,-54.3,323,-48.4,59.5,( 46/ 3.9/ 58.2),251,Pavlov et al. (2007),,
3,2.7,N,"Moyero River Siberian Traps, Siberia  ",-58.5,314.5,-58.5,314.5,-54.3,63.2,( 46/ 3.9/ 58.2),251,Gallet & Pavlov (1996); Pavlov et al. (2007),,
6,9.7,N,"Siberian Traps Mean recalculated, Siberia ",-52.8,334.4,-52.8,334.4,-41.8,62.3,( 46/ 3.9/ 58.2),251,"Kravchinsky et al. (2002), recalculated",,
5,2.7,,"Dome de Barrot red beds, France",-46,327,-50,324.7,-45.5,54.7,( 46/ 3.9/ 58.2),255,"652,T",,
6,4,,"Massif des Maures, France",-51,341,-55.4,338.1,-41.4,66.8,( 46/ 3.9/ 58.2),255,"1408,T",,
5,3.5,N,"Late Permian sediments, Urals ",-45.6,350.2,-54.9,338.2,-41,66.2,( 46/ 3.9/ 58.2),260, Bazhenov et al. (2008),,
5,5,,"Esterel sediments, France",-47,331,-50.6,327.7,-44.2,56.7,( 46/ 3.9/ 58.2),261,"165,T",,
6,4,,"Brive Basin sediments, France",-49,343,-52.6,341.7,-38,65.3,( 46/ 3.9/ 58.2),261,"3144,T",,
4,0,,"Permian red beds, Lodeve, France",-53,331,-58.6,326.4,-48.5,66.5,( 46/ 3.9/ 58.2),264,"1207,T",,
5,1.5,,"Lodeve Basin, France",-49,334,-52.5,331.5,-43.1,60.7,( 46/ 3.9/ 58.2),264,"1813,T",,
3,4.6,,"Upper Lodeve sandstone, France",-47,336,-49.3,334.7,-39.6,58.5,( 46/ 3.9/ 58.2),264,"168,T",,
5,4,,"Saxonian red sandstone, France",-51,324,-56.4,318.8,-51.4,61,( 46/ 3.9/ 58.2),264,"2361,T",,
5,6.1,,"Esterel extrusives, France",-51.5,322,-51.5,322,-47.7,55.3,( 46/ 3.9/ 58.2),264,"165,T",,
4,4.1,N,Cracow volcanics B,-50,344,-50,344,-35.3,63.8,( 46/ 3.9/ 58.2),269, Nawrocki et al. (2008),,
5,2.5,N,"Lunner dikes, Norway",-51,343,-51,343,-36.4,64.3,( 46/ 3.9/ 58.2),271, Dominquez et al. (2011),,
5,5.9,,"Lunner dikes, Norway ",-53,344,-53,344,-37.1,66.7,( 46/ 3.9/ 58.2),271,"3188,T (redated)",,
4,8.6,,"Bohuslan dikes combined, Sweden",-51,345,-51,345,-35.4,65.3,( 46/ 3.9/ 58.2),275,"1155, T",,
4,11,,"Scania melaphyre dikes, Sweden",-54,352,-54,352,-34.1,71.4,( 46/ 3.9/ 58.2),279,"2222,T",,
4,7,,"Bohemian quartz porphyry, Germany",-37,341,-37,341,-28.3,50.6,( 46/ 3.9/ 58.2),280,"3145,T",,
3,14,,"Mauchline lavas, Scotland",-47,337,-47,337,-37.1,57.3,( 46/ 3.9/ 58.2),280,"3093,T",,
5,10,,"Bohemian Massif igneous, Germany",-42,346,-42,346,-29,57.8,( 46/ 3.9/ 58.2),280,"2356,T",,
5,1,,"Oslo volcanics,  Norway",-47,337,-47,337,-37.1,57.3,( 46/ 3.9/ 58.2),281,"915,T",,
4,13.4,,"Ringerike lavas, Norway",-44.6,337.4,-44.6,337.4,-35.4,55.2,( 46/ 3.9/ 58.2),281,1830,,
4,6.9,,"Sarna alkaline intrusion, Sweden",-38,346,-38,346,-26.2,54.6,( 46/ 3.9/ 58.2),281,"1735,T",,
5,6.5,N,"Trachytes, Ukraine ",-49.4,359.7,-49.4,359.7,-27.4,71.4,( 46/ 3.9/ 58.2),282.6,Yuan et al. (2011),,
4,6.7,,"Moissey volcanics, France",-41,352,-41,352,-25.1,60.6,( 46/ 3.9/ 58.2),285,"1205,T",,
5,3.2,,"Intrasudetic Basin volcanics, Poland",-43,352,-43,352,-26.5,62.1,( 46/ 3.9/ 58.2),285,"3161,T",,
5,5.1,,"North Sudetic Basin sediments, Poland",-44,4,-48.6,4.1,-24.9,73.2,( 46/ 3.9/ 58.2),285,"3161,T",,
5,2,,"Krkonose Basin oil shales, Czech Republic",-40,346,-42.4,345.2,-29.6,57.7,( 46/ 3.9/ 58.2),285,"2444,T",,
3,7.7,,Lower Lodeve sandstone,-44,350,-39.8,-9.4,-25,58.8,( 46/ 3.9/ 58.2),285,"168,T",,
5,6.3,,"Mount Hunneberg Sill, Sweden",-38,346,-38,346,-26.2,54.6,( 46/ 3.9/ 58.2),285,"2211,T",,
4,8.1,,"North Sudetic Basin volcanics, Poland",-42,354,-42,354,-24.8,62.5,( 46/ 3.9/ 58.2),285,"3161,T",,
5,2,,"Lodeve Basin, France",-42,349,-40.5,-9.8,-25.7,59,( 46/ 3.9/ 58.2),285,1813.T,,
4,17,,"Lodeve B Component, France",-49,342,-52.5,340.1,-38.7,64.5,( 46/ 3.9/ 58.2),285,"2454,T",,
4,6.8,,"Intrasudetic basin sediments, Poland",-37,340,-38.5,339.4,-30.2,50.9,( 46/ 3.9/ 58.2),285,"3161,T",,
4,7.9,,"Krakow volcanics, Poland",-43,345,-43,345,-30.2,58.1,( 46/ 3.9/ 58.2),285,"275,T",,
5,4,,"Bohemian red beds, Czech Republic",-41,345,-44,343.5,-31.6,58.1,( 46/ 3.9/ 58.2),285,"167,T",,
3,13.2,,"Lower Silesia volcanics, Poland",-40,352,-40,352,-24.3,59.8,( 46/ 3.9/ 58.2),285,"465, T (recalculated)",,
5,4,,"Exeter Lavas, UK",-50,330,-50,330,-42.6,57.1,( 46/ 3.9/ 58.2),286,"165,T",,
4,5.9,,"Black Forest volcanics, Germany",-49,356,-49,356,-28.8,69.1,( 46/ 3.9/ 58.2),286,"170, T (recalculated)",,
4,10,,"Exeter Lavas, UK",-48,343,-48,343,-34.5,61.4,( 46/ 3.9/ 58.2),286,"411, T (recalculated)",,
3,1,,"Black Forest rhyolites, Germany",-42,353,-42,353,-25.3,61.9,( 46/ 3.9/ 58.2),286,"2941,T",,
4,5.8,,"Thuringer Forest sediments, Germany",-41.5,340,-45.3,338.1,-35.5,56.3,( 46/ 3.9/ 58.2),287,"1792,T",,
4,2.4,,"Stabben Sill, Norway",-32,354,-32,354,-17.3,55.4,( 46/ 3.9/ 58.2),291,"1540,T",,
3,15.9,,"Saar-Nahe volcanics, Germany",-41,349,-41,349,-26.7,58.8,( 46/ 3.9/ 58.2),291,"712,T",,
3,13,,"Nahe volcanics, Germany",-46,347,-46,347,-31.2,61.8,( 46/ 3.9/ 58.2),291,"940,T",,
6,13,,"Sudetic Mountain granitoids, Poland",-42,346,-42,346,-29,57.8,( 46/ 3.9/ 58.2),293,"2446,T",,
4,4.8,,"Great Whin Sill, UK",-44,339,-44,339,-34.1,55.5,( 46/ 3.9/ 58.2),294,"585,T",,
5,3.5,,"Hadrian's Wall-Pennines Sill and Hett Dike (Whin Sill), UK",-32.9,347.1,-32.9,347.1,-21.9,51.4,( 46/ 3.9/ 58.2),294,"T, Liss et al. (2004)",,
5,6.3,,"Holy Island Sill and Dyke (Whin Sill), UK",-35.4,346.8,-35.4,346.8,-23.9,53.1,( 46/ 3.9/ 58.2),294,"T, Liss et al. (2004)",,
4,4,,"Nideck-Donon volcanics, France",-47,348,-47,348,-31.3,63.2,( 46/ 3.9/ 58.2),294,"1010,T",,
3,19,,"Lower Nideck volcanics, France",-42,348,-42,348,-27.9,59,( 46/ 3.9/ 58.2),294,"174,T",,
4,4.8,N,"Cracow volcanics A, Poland",-44,355,-44,355,-25.7,64.6,( 46/ 3.9/ 58.2),294,Nawrocki et al. (2008),,
5,8.1,,"Alnwick Sill, High Green and St. Oswalds Chapel Dyke (Whin Sill), UK",-47.1,337.1,-47.1,337.1,-37.1,57.5,( 46/ 3.9/ 58.2),294,"T,  Liss et al. (2004)",,
5,6.5,,"Scania dolerites, Sweden",-38,348,-38,348,-25.1,55.8,( 46/ 3.9/ 58.2),294,"2222,T",,
5,11,,"Scania dolerite dikes, Sweden",-37,354,-37,354,-21.1,58.9,( 46/ 3.9/ 58.2),294,"2211,T",,
4,7.1,,"Thuringer Forest volcanics, Germany",-37.1,350,-37.1,350,-23.3,56.4,( 46/ 3.9/ 58.2),295,"1792,T",,
4,13.6,," Silesia volcanics, Poland",-43,354,-43,354,-25.5,63.3,( 46/ 3.9/ 58.2),296,"465,T",,
3,7.1,,"Arendal diabase dykes, Norway",-42.5,339.6,-42.5,339.6,-32.8,54.5,( 46/ 3.9/ 58.2),297,"175,T",,
4,2.9,,"Ny-Hellesund sills, Norway",-39,341,-39,341,-29.7,52.3,( 46/ 3.9/ 58.2),297,"626,T",,
5,1.3,,"Peterhead dyke, Scotland",-41,342,-41,342,-30.5,54.6,( 46/ 3.9/ 58.2),297,"1535,T",,
6,3,N,"Donets basin, Ukraine",-43,345,-49.9,337.3,-38.6,60.4,( 46/ 3.9/ 58.2),297,Iosifidi et al. (2010),,
5,2.4,N,"Svedlodarsk, Karamysh Formation, Donbas ",-48.4,349.8,-56.1,341.2,-40.3,68.8,( 46/ 3.9/ 58.2),299,Meijers et al. (2010),,
5,4,,"Mount Billinger sill, Sweden",-31,354,-31,354,-16.6,54.7,( 46/ 3.9/ 58.2),299,"2211,T",,
5,2.2,N,"Svetlodarsk, Kartamysh Formation, Donbas ",-48.2,348.3,-55.9,339.4,-41,67.9,( 46/ 3.9/ 58.2),299,Meijers et al. (2010),,
6,4,N,"Donets basin, Ukraine",-42,359,-45.7,356.5,-26.3,66.8,( 46/ 3.9/ 58.2),301,Iosifidi et al. (2010),,
5,2,N,"Debaltsevo Donbas, Ukraine ",-48.2,342.3,-48.2,342.3,-35,61.3,( 46/ 3.9/ 58.2),303,Meijers et al. (2010),,
3,3,,"Wackerfield dyke, England",-49,349,-49,349,-32.2,65.4,( 46/ 3.9/ 58.2),303,"180,T",,
5,5.2,,"Queensferry sill, Scotland",-38.3,354,-38.3,354,-22,59.8,( 46/ 3.9/ 58.2),305,"2447,T",,
5,9,,"Westphalian-Stephanian red beds, Czech Republic",-38,343,-40.3,341.5,-30.3,53.7,( 46/ 3.9/ 58.2),305,"167,T",,
5,2.9,N,"Tashkovska Donbas, Ukraine",-38.4,339.5,-38.4,339.5,-29.3,50.9,( 44.9/ 3.1/ 58.7),312,Meijers et al. (2010),,
6,7,,"Burntisland-Kinghorn lavas, Scotland",-14,332,-14,332,-13.6,25.1,( 34.6/-1.9/ 64.4),332,"2447,  T96 (redated)",,
6,8.2,,"Derbyshire Lavas, England",-14.3,335.9,-14.3,335.9,-11.7,27.6,( 33.4/-.8/ 64.8),335,"2440,T",,
6,11,,"Cheviot Hills igneous, England",4,323,4,323,,,,396,"190,T96",,
6,7,,"Old Red Sandstone lavas and sediments, Scotland",-5,320,-5,320,,,,410,"194,T96",,
7,3,," Strathmore lavas, Scotland",2,318,2,318,,,,410,"1536,T96",,
6,7.3,,"Devonian sediments, Podolia, Ukraine",3.7,325.5,3.7,325.5,,,,411,2664,,
5,6,,"Lorne Plateau lavas, Scotland",2,321,2,321,,,,412,"193, T96",,
4,2.5,,"Glenbervie ignimbrite, Scotland",-8,335,-8,335,,,,415,"2565 ,T96",,
4,4.3,,"Lintrathen ignimbrite, Scotland",-1,325,-1,325,,,,415,"2565,T96",,
4,4.9,N,"Middle Silurian limestone, Dniester basin, Ukraine",-17,350,-17,350,,,,419,Jelenska et al. (2005),,
7,9.1,,"Ringerike sandstone, Oslo, Norway",-19,344,-13.6,-16,,,,421,"1830, T96",,
3,5.7,,"Foyers granite, Scotland ",-27,346,-27,346,,,,421,"1530, T96",,
3,8,,Gotland Medby limestone,-23,351,-23,351,,,,422,"1734 ,T96",,
4,4.6,N,"Yaruga limestone and dolomite, Dniester basin, Ukraine",-15,350,-15,350,,,,424,Jelenska et al. (2005),,
5,7.9,,"Ratagen Complex, Scotland",-15,347,-15,347,,,,425,"1200,T96",,
3,6,,"Gotland Follingbo limestone, Sweden",-21,344,-21,344,,,,425,"1734 ,T96",,
4,2,,"Gotland Dacker limestone, Sweden",-19,349,-19,349,,,,426,"1734,T96",,
5,5.1,,"Gotland Visby limestone, Sweden",-19,352,-19,352,,,,427,"2363, T96",,
3,5,,"Strontian granite, Scotland ",-21,344,-21,344,,,,430,"1530,T96",,
4,5.2,,"Peterhead granite, Scotland  ",-21,358,-21,358,,,,432,"1535 ,T96",,
5,13.4,,Swedish Limestone I(N),3,35,3,35,,,,458,"2362, T96",,
6,4.8,,"Vestergotland (N3), Sweden",5,34,5,34,,,,459,"2362 ,T96",,
5,4.9,N,"Llandeilian limestone,  St.Petersburg, Russia ",12,41.9,12,41.9,,,,463,Pavlov et al 2008 EPSL,,
6,4.4,,"Vestergotland (N1-N2 and R13), Sweden",14,49,14,49,,,,466,"2362,T96",,
4,6.7,N,"Dapingian-Darriwilian limestone, Estonia",11.3,39.1,11.3,39.1,,,,467,Plado et al. 2010 GJI 180,,
6,9.2,N,"Komstad Limestone, Sweden",19,51,19,51,,,,471,Torsvik & Rehnström (2003a),,
6,6.8,,"Gullhøgen (R1+R2), Sweden",18.7,54,18.7,54,,,,472,"2959, T96",,
4,7.1,N,"Florian limestone, Estonia ",25,50.9,25,50.9,,,,472,Plado et al. 2010 GJI 180,,
5,9,,Swedish Limestones,30,55,30,55,,,,475,"2541 , T96",,
6,5.1,,Swedish Limestones I(R),18,46,18,46,,,,475,"2438, T96",,
6,4,N,"Narva Ordovician limestone, Russia ",18,55,18,55,,,,477,Khramov & Iosifidi (2009),,
5,3.6,N,"St Petersburg Limestone, Russia",34.7,59.1,34.7,59.1,,,,478,3179,,
5,5,N,"Narva Cambrian sandstone, Russia ",22,87,34.2,79.8,,,,500,Khramov & Iosifidi (2009),,
3,6.8,N,"Andrarum limestone, Sweden",52,111,52,111,,,,500.1,3425,,
4,6.9,N,"Tornetrask Formation/Dividal Group, Sweden",58.4,122.5,68.7,102.2,,,,535,Rehnström & Torsvik (2003),,
