,age,latitude,longitude
264,835.0,23.098858399,117.101412228
265,834.0,24.5356683254,117.183613696
266,833.0,25.972586057,117.264452041
267,832.0,27.4096069896,117.343981473
268,831.0,28.8467267248,117.42225345
269,830.0,30.2839410571,117.499316808
270,829.0,31.7212459623,117.575217876
271,828.0,33.158637586,117.650000573
272,827.0,34.5961122339,117.72370649
273,826.0,36.0336663617,117.796374964
274,825.0,37.4712965663,117.868043127
275,824.0,38.0001555733,117.682391672
276,823.0,38.532417785,117.511773352
277,822.0,39.0677877614,117.356586761
278,821.0,39.6059635357,117.21724363
279,820.0,40.1466362942,117.094169297
280,819.0,40.6894900359,116.987803148
281,818.0,41.2342012115,116.89859902
282,817.0,41.7804383415,116.827025547
283,816.0,42.3278616146,116.773566448
284,815.0,42.8761224659,116.738720746
285,814.0,43.4248631362,116.723002889
286,813.0,43.9737162141,116.726942773
287,812.0,44.5223041604,116.751085648
288,811.0,45.0702388192,116.795991873
289,810.0,45.617120916,116.862236511
290,809.0,43.7381282679,114.254252894
291,808.0,41.7454217706,111.89642702
292,807.0,39.6533039685,109.7727469
293,806.0,37.4745205416,107.866381258
294,805.0,35.2203469073,106.16062227
295,804.0,32.9007156595,104.639502052
296,803.0,30.5243615603,103.288163962
297,802.0,28.0989691274,102.093059468
298,801.0,25.6313139968,101.042026948
299,800.0,23.1273934588,100.124294744
300,799.0,20.5925443039,99.3304388741
301,798.0,18.031547794,98.6523164553
302,797.0,15.4487225349,98.0829889937
303,796.0,12.8480065247,97.6166447712
304,795.0,10.233029869,97.2485261374
305,794.0,7.60717970598,96.9748652365
306,793.0,4.97365885063,96.7928302056
307,792.0,2.3355395942,96.700482936
308,791.0,-0.304185983428,96.6967489199
309,790.0,-2.94255790208,96.7813993732
310,789.0,-5.5766011355,96.9550456334
311,788.0,-8.20327822481,97.2191457199
312,787.0,-10.8194404477,97.5760228278
313,786.0,-13.4217763206,98.0288953721
314,785.0,-16.0067561716,98.5819179228
315,784.0,-18.5705714748,99.2402318995
316,783.0,-21.1090675932,100.010024126
317,782.0,-23.6176685625,100.898590125
318,781.0,-26.0912926085,101.914397191
319,780.0,-28.5242572741,103.067139534
320,779.0,-28.0597401082,103.199688093
321,778.0,-27.5954976215,103.33289529
322,777.0,-27.1315337001,103.466769715
323,776.0,-26.6678522842,103.601320076
324,775.0,-26.2044573694,103.7365552
325,774.0,-25.741353008,103.872484035
326,773.0,-25.2785433095,104.009115655
327,772.0,-24.816032442,104.146459255
328,771.0,-24.3538246336,104.284524158
329,770.0,-23.8919241729,104.423319818
330,769.0,-23.430335411,104.562855816
331,768.0,-22.9690627619,104.703141867
332,767.0,-22.5081107041,104.844187821
333,766.0,-22.047483782,104.986003663
334,765.0,-21.5871866069,105.128599519
335,764.0,-21.1272238582,105.271985652
336,763.0,-20.6676002853,105.416172473
337,762.0,-20.2083207083,105.561170533
338,761.0,-19.7493900195,105.706990534
339,760.0,-19.2908131854,105.853643325
340,759.0,-18.8325952473,106.001139908
341,758.0,-18.3747413233,106.149491441
342,757.0,-17.9172566096,106.298709237
343,756.0,-17.4601463823,106.448804768
344,755.0,-17.0034159985,106.599789669
345,754.0,-16.5444230061,106.532684157
346,753.0,-16.0852654975,106.466974408
347,752.0,-15.6259475061,106.402642712
348,751.0,-15.1664729849,106.339671918
349,750.0,-14.7068458093,106.27804542
350,749.0,-14.4489006264,105.87726739
351,748.0,-14.1890872379,105.478244614
352,747.0,-13.9274263941,105.08096712
353,746.0,-13.6639387217,104.685424588
354,745.0,-13.3986447217,104.291606352
355,744.0,-13.1315647668,103.899501419
356,743.0,-12.8627190991,103.509098475
357,742.0,-12.5921278284,103.120385894
358,741.0,-12.31981093,102.733351753
359,740.0,-12.0457882431,102.347983836
360,739.0,-11.7700794693,101.964269646
361,738.0,-11.492704171,101.582196415
362,737.0,-11.21368177,101.201751111
363,736.0,-10.9330315465,100.82292045
364,735.0,-10.6507726378,100.4456909
365,734.0,-10.3669240377,100.070048693
366,733.0,-10.0815045952,99.6959798338
367,732.0,-9.79453301411,99.3234701035
368,731.0,-9.50602785246,98.9525050715
369,730.0,-9.21600752174,98.5830701009
370,729.0,-8.92449028671,98.2151503563
371,728.0,-8.63149426506,97.8487308108
372,727.0,-8.33703742718,97.4837962527
373,726.0,-8.04113759612,97.120331292
374,725.0,-7.74381244751,96.7583203668
375,724.0,-7.44507950971,96.3977477497
376,723.0,-7.14495616392,96.0385975532
377,722.0,-6.84345964443,95.6808537355
378,721.0,-6.54060703899,95.3245001064
379,720.0,-6.23641528917,94.9695203318
380,719.0,-6.15402135535,96.5815084637
381,718.0,-6.08259740424,98.1937925388
382,717.0,-5.9659284441,99.2134563214
383,716.0,-5.85458827619,100.233510156
384,715.0,-5.74861420563,101.253943038
385,714.0,-5.64804181357,102.274742785
386,713.0,-5.55290493501,103.295896083
387,712.0,-5.46323563761,104.31738854
388,711.0,-5.37906420117,105.339204738
389,710.0,-5.30041909817,106.361328283
390,709.0,-5.22732697516,107.383741865
391,708.0,-5.15981263523,108.406427315
392,707.0,-5.09789902146,109.429365658
393,706.0,-5.04160720158,110.452537181
394,705.0,-4.99095635366,111.475921486
395,704.0,-4.94596375306,112.499497556
396,703.0,-4.90664476053,113.52324382
397,702.0,-4.87301281166,114.547138212
398,701.0,-4.8450794075,115.571158241
399,700.0,-4.82285410658,116.595281054
400,699.0,-4.80634451816,117.619483501
401,698.0,-4.79555629695,118.643742207
402,697.0,-4.79049313909,119.668033632
403,696.0,-4.79115677956,120.692334146
404,695.0,-4.79754699094,121.716620089
405,694.0,-4.80966158357,122.740867847
406,693.0,-4.82749640713,123.765053913
407,692.0,-4.85104535352,124.789154956
408,691.0,-4.88030036118,125.81314789
409,690.0,-4.91525142076,126.83700994
410,689.0,-4.95588658209,127.860718707
411,688.0,-5.00219196254,128.884252236
412,687.0,-5.05415175664,129.907589076
413,686.0,-5.11174824696,130.930708349
