,age,latitude,longitude
58,1741.0,62.0562812155,117.35895698
59,1740.0,61.9847409751,117.701399425
60,1739.0,61.8446514346,117.541637459
61,1738.0,61.7041148049,117.384378301
62,1737.0,61.5631391561,117.229593787
63,1736.0,61.4217324328,117.077255997
64,1735.0,61.2799024564,116.92733726
65,1734.0,61.1376569267,116.779810157
66,1733.0,60.9950034238,116.634647523
67,1732.0,60.8519494102,116.491822456
68,1731.0,60.7085022323,116.351308313
69,1730.0,60.5646691227,116.213078719
70,1729.0,60.4204572018,116.077107566
71,1728.0,60.2758734794,115.943369014
72,1727.0,60.1309248571,115.811837498
73,1726.0,59.9856181295,115.682487721
74,1725.0,59.8399599864,115.555294664
75,1724.0,59.6939570143,115.43023358
76,1723.0,59.5476156983,115.307280001
77,1722.0,59.4009424239,115.18640973
78,1721.0,59.2539434783,115.06759885
79,1720.0,59.1066250528,114.950823719
80,1719.0,58.9589932435,114.83606097
81,1718.0,58.8110540541,114.723287512
82,1717.0,58.6628133965,114.612480529
83,1716.0,58.514277093,114.503617479
84,1715.0,58.3654508777,114.396676094
85,1714.0,58.216340398,114.291634376
86,1713.0,58.0669512165,114.188470601
87,1712.0,57.9172888119,114.087163312
88,1711.0,57.7673585811,113.987691322
89,1710.0,57.6171658402,113.89003371
90,1709.0,57.4667158266,113.794169821
91,1708.0,57.3160136995,113.700079263
92,1707.0,57.1650645422,113.607741905
93,1706.0,57.0138733629,113.517137878
94,1705.0,56.8624450965,113.428247567
95,1704.0,56.7107846056,113.341051616
96,1703.0,56.5588966821,113.255530922
97,1702.0,56.4067860481,113.171666633
98,1701.0,56.2544573576,113.089440146
99,1700.0,56.1019151978,113.008833106
100,1699.0,55.9491640899,112.929827402
101,1698.0,55.7962084908,112.852405167
102,1697.0,55.6430527937,112.776548771
103,1696.0,55.4897013301,112.702240825
104,1695.0,55.3361583702,112.629464174
105,1694.0,55.1824281246,112.558201894
106,1693.0,55.0285147449,112.488437294
107,1692.0,54.8744223254,112.42015391
108,1691.0,54.7201549035,112.353335503
109,1690.0,54.5657164614,112.287966056
110,1689.0,54.4111109268,112.224029774
111,1688.0,54.2563421738,112.16151108
112,1687.0,54.1014140243,112.100394609
113,1686.0,53.9463302488,112.040665212
114,1685.0,53.7910945671,111.982307949
115,1684.0,53.6357106498,111.925308088
116,1683.0,53.4801821187,111.869651102
117,1682.0,53.3245125481,111.815322667
118,1681.0,53.1687054656,111.762308657
119,1680.0,53.0127643527,111.710595145
120,1679.0,52.8566926462,111.660168401
121,1678.0,52.7004937386,111.611014884
122,1677.0,52.5441709791,111.563121246
123,1676.0,52.3877276745,111.516474325
124,1675.0,52.23116709,111.471061145
125,1674.0,52.0744924497,111.426868913
126,1673.0,51.9177069377,111.383885014
127,1672.0,51.7608136989,111.342097016
128,1671.0,51.6038158394,111.301492657
129,1670.0,51.4467164276,111.262059852
130,1669.0,51.2895184947,111.223786686
131,1668.0,51.1322250354,111.186661411
132,1667.0,50.9748390089,111.150672449
133,1666.0,50.8173633391,111.115808382
134,1665.0,50.6598009157,111.082057956
135,1664.0,50.5021545945,111.049410077
136,1663.0,50.3444271983,111.017853807
137,1662.0,50.1866215176,110.987378364
138,1661.0,50.0287403107,110.957973119
139,1660.0,49.8707863051,110.929627594
140,1659.0,49.7127621974,110.902331458
141,1658.0,49.5546706542,110.87607453
142,1657.0,49.3965143127,110.850846772
143,1656.0,49.2382957811,110.826638288
144,1655.0,49.0800176394,110.803439322
145,1654.0,48.9216824396,110.78124026
146,1653.0,48.7632927066,110.760031621
147,1652.0,48.6048509384,110.739804061
148,1651.0,48.4463596068,110.720548367
149,1650.0,48.287821158,110.702255459
150,1649.0,48.1292380128,110.684916383
151,1648.0,47.9706125673,110.668522316
152,1647.0,47.8119471932,110.653064557
153,1646.0,47.6532442387,110.63853453
154,1645.0,47.4945060282,110.62492378
155,1644.0,47.3357348636,110.612223975
156,1643.0,47.1769330241,110.600426897
157,1642.0,47.0181027669,110.589524447
158,1641.0,46.8592463275,110.579508641
159,1640.0,46.7003659206,110.570371607
160,1639.0,46.5414637396,110.562105586
161,1638.0,46.3825419578,110.554702928
162,1637.0,46.2236027286,110.548156092
163,1636.0,46.0646481855,110.542457643
164,1635.0,45.905680443,110.537600254
165,1634.0,45.9727047463,110.302697364
166,1633.0,46.0381580263,110.066598015
